# Example users. Delete the 1st 2 lines though
# username,password,email,firstname,surname
b598-40ff-9b6f,jumpcloud,eros.turpis@quisaccumsan.ca,Dacey,Lester
1883-6908-4e2b,jumpcloud,egestas.urna@pedeetrisus.co.uk,Aretha,Henry
a734-eb3e-ff89,jumpcloud,vestibulum.Mauris@neque.ca,Yoshi,Ball
1b52-81e4-b2af,jumpcloud,consectetuer@fringilla.net,Desiree,Hurley
dd06-ef67-f104,jumpcloud,urna@posuere.co.uk,Mira,Bailey
f52e-1393-52c7,jumpcloud,lacus.Nulla@sit.org,Aiko,Vaughn
8f1b-8b8e-42b8,jumpcloud,arcu.imperdiet.ullamcorper@suscipit.co.uk,Mohammad,Roberson
90c0-9a10-5c03,jumpcloud,nisi@tortor.edu,Jescie,Tyson
a85f-4494-e1f5,jumpcloud,Donec@tempus.net,Kirsten,Levine
ac0a-7798-9b54,jumpcloud,Donec@diamProin.org,Brian,Chambers
a0a0-2425-122c,jumpcloud,tristique@ipsum.org,Lysandra,Mcintyre
5887-253a-f2bc,jumpcloud,diam@telluseu.org,Nelle,Frazier
4d6e-5766-60f2,jumpcloud,magna@Suspendisse.edu,Keane,Vance
3802-1002-1880,jumpcloud,velit@eutelluseu.co.uk,Keelie,Mack
a07e-6fa1-eccf,jumpcloud,nunc.risus@atlacus.ca,Ralph,Compton
c857-b596-59e6,jumpcloud,neque.In@imperdieterat.co.uk,Nichole,Hopkins
ecc3-3cb6-772b,jumpcloud,arcu@nondui.co.uk,Velma,Mckinney
a9da-6a00-33ff,jumpcloud,Aliquam.adipiscing@Inmipede.org,Alfreda,Hall
2c07-2872-98b3,jumpcloud,erat@netusetmalesuada.org,Madeline,York
a259-38c8-03c5,jumpcloud,Etiam.imperdiet@Utnec.org,Medge,Hawkins
2dfa-6609-7e0d,jumpcloud,dui.lectus@Donec.com,Drake,Mcfarland
0ce7-9a62-9a3a,jumpcloud,feugiat.nec@diam.edu,Dolan,Vazquez
b951-7954-2712,jumpcloud,consequat.auctor@egestas.edu,Noel,Alexander
7f9e-a20b-ee03,jumpcloud,Aliquam.tincidunt.nunc@Nuncac.co.uk,Kristen,Love
f28f-19e8-3352,jumpcloud,dictum.eu.placerat@cursusvestibulum.org,Julie,Hendrix
ca8b-5cc5-17e8,jumpcloud,mi.lorem.vehicula@arcuCurabiturut.org,Nolan,Robbins
808f-10fb-ccaf,jumpcloud,tristique.senectus.et@Inatpede.ca,Basil,Miles
796b-cd05-e710,jumpcloud,auctor.velit@disparturient.ca,Bethany,Blankenship
d688-5eb2-de63,jumpcloud,erat@bibendum.com,Raven,Hebert
b173-3e13-d863,jumpcloud,enim.Etiam.gravida@Nuncmauris.edu,Kameko,Matthews
8d1f-e79e-77c2,jumpcloud,nec@lobortisClass.co.uk,Kiara,Conner
1ba9-4e4b-0367,jumpcloud,Nam@mauris.com,Coby,Olsen
15b8-f652-ddfc,jumpcloud,odio.a.purus@consectetueradipiscing.ca,Francis,Wagner
9071-ad05-e06e,jumpcloud,parturient.montes@Morbi.org,Kato,Dorsey
6b7f-91d1-faeb,jumpcloud,Mauris.vestibulum@sagittis.org,Heidi,Day
4489-6004-801e,jumpcloud,vulputate.eu@tortornibhsit.co.uk,Garth,Head
db84-3e86-bb00,jumpcloud,mauris@Proin.co.uk,Conan,Kent
091a-d0a7-dc30,jumpcloud,velit.Pellentesque@pedeet.co.uk,Vaughan,Parker
722c-affa-3d0e,jumpcloud,dui.Fusce.aliquam@ProinmiAliquam.edu,Chiquita,Harper
b878-8fd1-f0d8,jumpcloud,Nullam.enim.Sed@mollis.net,Matthew,Jones
14bd-5ff0-ec2b,jumpcloud,arcu.Sed.et@urna.org,Rhiannon,Skinner
6328-2673-36b4,jumpcloud,nec.orci.Donec@metus.ca,Anjolie,Chapman
08e9-d6fa-7955,jumpcloud,ac@porttitortellusnon.net,Levi,Hanson
f6d6-f95a-b945,jumpcloud,elementum@ipsum.edu,Clio,Cooke
5d94-8fb9-93d8,jumpcloud,pede@duiCras.co.uk,Stuart,Michael
b373-3731-d3eb,jumpcloud,orci.sem.eget@egestasAliquam.co.uk,Uma,Rivas
2ff0-57dd-df92,jumpcloud,et.pede.Nunc@loremsemper.net,Bradley,Martinez
ea48-bab9-ff4d,jumpcloud,enim.Etiam@congue.co.uk,Briar,Durham
3c65-33c4-d699,jumpcloud,luctus@Suspendissealiquet.com,Zenaida,Hawkins
d221-6471-f246,jumpcloud,interdum.Curabitur@blandit.org,Echo,Wilkinson
